Study_ID	Year	Title	Journal_published_in	Research_area	Insect_order	Insect_family	Development_stage	Target_community_of_microbiome	Sampled	Surface_sterilized	DNA_extraction_kit_used	16S_rRNA_gene_target_region	Did_they_use_negative_controls	What_type(s)	Is_it_reported_how_many_they_did_(blanks/total_samples)	Do_they_report_the_outcome_of_the_negative_controls	Did_they_sequence_the_negative_controls	What_was_the_reason_for_not_sequencing	Was_there_a_comparison_with_their_samples_to_control_for_contamination	How	Did_they_use_qPCR_in_tandem	Do_they_determine_the_limit_of_detection	Relic_DNA	Transient_bacteria	Animal/plant_DNA	Contamination	Is_the_DNA_sequencing_data_publicly_available	If_yes,_accession_code:	is_referenced_by_count
Yoon	2022	Experimental_removal_of_extracellular_egg-associated_microbes_has_long-lasting_effects_for_larval_performance	Functional_Ecology	Entomology	Lepidoptera	Lycaenidae	Juveniles	Body	Whole	No	Qiagen	V4	Yes	EBCs	No	Yes	Yes	NA	Yes	Other	No	NA	No	Yes	Yes	Yes	No	NA	1
Yorimoto	2022	Complex_host/symbiont_integration_of_a_multi-partner_symbiotic_system_in_the_eusocial_aphid_Ceratovacuna_japonica	iScience	Microbiome	Hemiptera	Aphididae	Adults	Body	Whole	Yes	Qiagen	V1-V2_V3-V4	Yes	EBCs	No	No	No	Not_given	No	NA	Yes	No	No	No	No	No	Yes	DRA014323	0
Yuan	2021	Comparison_of_Gut_Bacterial_Communities_of_Grapholita_molesta_(Lepidoptera:_Tortricidae)_Reared_on_Different_Host_Plants	Interntional_Journal_of_Molecular_Sciences	Microbiology	Lepidoptera	Tortricidae	Juveniles	Gut	Gut	Yes	Macherey-Nagel	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	Not_given	24
Zeng	2020	Avermectin_stress_varied_structure_and_function_of_gut_microbial_community_in_Lymantria_dispar_asiatica_(Lepidoptera:_Lymantriidae)_larvae	Pesticide_Biochemistry_and_Physiology	Microbiome	Lepidoptera	Lymantriidae	Juveniles	Gut	Gut	No	Omega	V3-V4	Yes	EBCs	No	Yes	Yes	NA	No	NA	No	NA	No	No	Yes	No	No	NA	16
Zeng	2022	Serotonin_modulates_insect_gut_bacterial_community_homeostasis	BMC_Biology	Microbiome	Diptera	Culicidae,_Tephritidae	Adults	Gut	Gut	No	Omega	V3-V4	Yes	EBCs	No	No	No	Not_given	No	NA	Yes	No	No	No	No	No	Yes	PRJNA735076,_PRJNA735433,_PRJNA735435	7
Zepeda-Paulo	2018	Low_bacterial_community_diversity_in_two_introduced_aphid_pests_revealed_with_16S_rRNA_amplicon_sequencing	PeerJ	Microbiome	Hemiptera	Aphididae	Adults	Body	Whole	No	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	NA	17
Zhang	2018	Bacterial_and_fungal_gut_communities_of_Agrilus_mali_at_different_developmental_stages_and_fed_different_diets	Scientific_reports	Microbiome	Coleoptera	Buprestidae	>1_developmental_stage	Gut	Gut	Yes	ComWin_Biotech	V3-V4	Yes	EBCs	No	No	No	Not_given	No	NA	No	NA	No	Yes	No	Yes	Yes	PRJNA358858	24
Zhang	2021	Contribution_of_sample_processing_to_gut_microbiome_analysis_in_the_model_Lepidoptera,_silkworm_Bombyx_mori	Computational_and_structural_biotechnology_journal	Microbiology	Lepidoptera	Bombycidae	Juveniles	Gut	Gut	Yes	Epicentre	V3-V4	Yes	EBCs	No	Yes	Yes	NA	Yes	Decontam	No	NA	No	Yes	Yes	Yes	Yes	SRP100894_and_SRX3759742	16
Zhang	2022	Variation_in_gut_microbial_communities_of_Chilo_suppressalis_in_the_typical_bivoltine_areas_of_northern_China	Journal_of_Applied_Entomology	Entomology	Lepidoptera	Crambidae	Juveniles	Body	Whole	Yes	Tiangen	V3-V4	Yes	EBCs	No	No	No	Not_given	No	NA	No	NA	No	No	No	No	Yes	SRP238760	2
Zhang	2022	Antibiotic_Treatment_Reduced_the_Gut_Microbiota_Diversity,_Prolonged_the_Larval_Development_Period_and_Lessened_Adult_Fecundity_of_Grapholita_molesta_(Lepidoptera:_Tortricidae)	Insects	Entomology	Lepidoptera	Tortricidae	Juveniles	Gut	Gut	Yes	Macherey-Nagel	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA778521	5
Zhang	2022	Changes_in_the_Host_Gut_Microbiota_during_Parasitization_by_Parasitic_Wasp_Cotesia_vestalis	Insects	Entomology	Hymenoptera	Braconidae	Juveniles	Gut	Gut	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	SAMN28027321-_SAMN28027344	1
Zhang	2022	Diversity_and_functional_profile_of_gut_symbiotic_bacteria_between_Lysinibacillus_sphaericus_C3-41_susceptible_and_resistant_Culex_quinquefasciatus_Say_as_revealed_by_16S_rRNA_gene_high-throughput_sequencing	Frontiers_in_Microbiology	Microbiology	Diptera	Culicidae	Juveniles	Gut	Gut	Yes	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	1
Zhang	2022	Soil-derived_bacteria_endow_Camellia_weevil_with_more_ability_to_resist_plant_chemical_defense	Microbiome	Microbiome	Coleoptera	Curculionidae	Adults	Gut	Gut	No	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA777383	9
Zhao	2022	Lactobacillus_spp._in_the_reproductive_system_of_female_moths_and_mating_induced_changes_and_possible_transmission	BMC_Microbiology	Microbiology	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	Yes	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA844607	0
Zheng	2021	Gut_bacterial_communities_across_12_Ensifera_(Orthoptera)_at_different_feeding_habits_and_its_prediction_for_the_insect_with_contrasting_feeding_habits	PLoS_ONE	Microbiome	Orthoptera	Tettigoniidae,_Gryllacrididae,_Rhaphidophoridae,_Gryllotalpidae,_Gryllidae,_Acrididae	Adults	Gut	Gut	Yes	Tiangen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA646618	12
Zhong	2021	Gut_microbial_communities_associated_with_phenotypically_divergent_populations_of_the_striped_stem_borer_Chilo_suppressalis_(Walker,_1863)	Scientific_reports	Microbiome	Lepidoptera	Crambidae	Juveniles	Gut	Gut	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	SRP116573	1
Zhou	2022	Gut_Bacterial_Diversity_and_Community_Structure_of_Spodoptera_exigua_(Lepidoptera:_Noctuidae)_in_the_Welsh_Onion-producing_Areas_of_North_China	Journal_of_Economic_Entomology	Entomology	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	Yes	Tiangen	V3-V4	Yes	EBCs	No	Yes	Yes	NA	No	NA	No	NA	No	No	No	No	Yes	SRP266561	0
Zhu	2022	Gut_microbiota_composition_in_the_sympatric_and_diet-sharing_Drosophila_simulans_and_Dicranocephalus_wallichii_bowringi_shaped_largely_by_community_assembly_processes_rather_than_regional_species_pool	iMeta	Microbiome	Multiple	Multiple	Adults	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA822659	3
Zhukova	2022	Phylogenomic_analysis_and_metabolic_role_reconstruction_of_mutualistic_Rhizobiales_hindgut_symbionts_of_Acromyrmex_leaf-cutting_ants	FEMS_Microbiology_Ecology	Microbiology	Hymenoptera	Formicidae	Adults	Gut	Gut	Yes	Qiagen	V4	Yes	EBCs	No	Yes	No	Other	No	NA	No	NA	No	No	No	Yes	Yes	PRJNA476860,_PRJNA476944	0
Zink	2015	Exposure_to_West_Nile_virus_increases_bacterial_diversity_and_immune_gene_expression_in_Culex_pipiens	Viruses	Microbiology	Diptera	Culicidae	Adults	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	39
Cesaro	2022	Staphylococcus_aureus_artificially_inoculated_in_mealworm_larvae_rearing_chain_for_human_consumption:_Long-term_investigation_into_survival_and_toxin_production	Food Research International	Entomology	Coleoptera	Tenebrionidae	Juveniles	Body	Whole	No	Bioline	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	1
Cesaro	2022	Fate_of_Escherichia_coli_artificially_inoculated_in_Tenebrio_molitor_L._larvae_rearing_chain_for_human_consumption_	Food Research International	Entomology	Coleoptera	Tenebrionidae	Juveniles	Body	Whole	No	Bioline	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	5
Yao	2022	Compartmentalized_PGRP_expression_along_the_dipteran_Bactrocera_dorsalis_gut_forms_a_zone_of_protection_for_symbiotic_bacteria	Cell reports	Microbiome	Diptera	Tephritidae	Adults	Gut	Gut	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	Yes	No	No	Yes	PRJNA777066	16
Yun	2014	Insect_gut_bacterial_diversity_determined_by_environmental_habitat,_diet,_developmental_stage,_and_phylogeny_of_host	Applied and Environmental Microbiology	Microbiology	Multiple	Multiple	>1_developmental_stage	Gut	Whole_and_Gut	Yes	Protocol	V1-V2	Yes	PCRblanks	No	No	NA	NA	No	NA	No	NA	No	No	Yes	No	Yes	SRA061337, KC413646, KC413939	735
